parent_project_id_namespace	parent_project_id	child_project_id_namespace	child_project_id
cfde_id_namespace_id:BCDC	TransChar	cfde_id_namespace_id:BCDC	TransgenicSTPT
cfde_id_namespace_id:BCDC	U01 Dong	cfde_id_namespace_id:BCDC	dong_antero_proj
cfde_id_namespace_id:BCDC	U01 Dong	cfde_id_namespace_id:BCDC	dong_retro_proj
cfde_id_namespace_id:BCDC	U01 Dong	cfde_id_namespace_id:BCDC	dong_trio_proj
cfde_id_namespace_id:BCDC	U19 Ecker	cfde_id_namespace_id:BCDC	ecker_sn_ATACseq_proj
cfde_id_namespace_id:BCDC	U19 Ecker	cfde_id_namespace_id:BCDC	ecker_sn_mCseq_proj
cfde_id_namespace_id:BCDC	U19 Ecker	cfde_id_namespace_id:BCDC	ecker_sn_mCseq_retro_proj
cfde_id_namespace_id:BCDC	U19 Ecker	cfde_id_namespace_id:BCDC	ecker_trio_proj
cfde_id_namespace_id:BCDC	U01 Feng	cfde_id_namespace_id:BCDC	feng_fish_proj
cfde_id_namespace_id:BCDC	U01 Feng	cfde_id_namespace_id:BCDC	feng_sn_dropseq_proj
cfde_id_namespace_id:BCDC	U19 Huang	cfde_id_namespace_id:BCDC	huang_antero_proj
cfde_id_namespace_id:BCDC	U19 Huang	cfde_id_namespace_id:BCDC	huang_pn_proj
cfde_id_namespace_id:BCDC	U19 Huang	cfde_id_namespace_id:BCDC	huang_retro_proj
cfde_id_namespace_id:BCDC	U19 Huang	cfde_id_namespace_id:BCDC	huang_sn_10xv2_proj
cfde_id_namespace_id:BCDC	U19 Huang	cfde_id_namespace_id:BCDC	huang_stpt_conn_proj
cfde_id_namespace_id:BCDC	U19 Huang	cfde_id_namespace_id:BCDC	huang_stpt_count_proj
cfde_id_namespace_id:BCDC	U01 Kriegstein	cfde_id_namespace_id:BCDC	kriegstein_sc_10x_proj
cfde_id_namespace_id:BCDC	U01 Kriegstein	cfde_id_namespace_id:BCDC	kriegstein_sc_ATACseq_proj
cfde_id_namespace_id:BCDC	U01 Kriegstein	cfde_id_namespace_id:BCDC	kriegstein_sn_10x_proj
cfde_id_namespace_id:BCDC	U01 Lein	cfde_id_namespace_id:BCDC	lein_sn_10x
cfde_id_namespace_id:BCDC	U01 Lein	cfde_id_namespace_id:BCDC	lein_sn_SSv4_proj
cfde_id_namespace_id:BCDC	U01 Osten	cfde_id_namespace_id:BCDC	osten_stpt_proj
cfde_id_namespace_id:BCDC	U01 Yang	cfde_id_namespace_id:BCDC	yang_MORF_confocal_proj
cfde_id_namespace_id:BCDC	U19 Zeng	cfde_id_namespace_id:BCDC	zeng_anderson_sc_10xv2_proj
cfde_id_namespace_id:BCDC	U19 Zeng	cfde_id_namespace_id:BCDC	zeng_fmost_proj
cfde_id_namespace_id:BCDC	U19 Zeng	cfde_id_namespace_id:BCDC	zeng_mouselight_proj
cfde_id_namespace_id:BCDC	U19 Zeng	cfde_id_namespace_id:BCDC	zeng_retro_proj
cfde_id_namespace_id:BCDC	U19 Zeng	cfde_id_namespace_id:BCDC	zeng_sc_10x_proj
cfde_id_namespace_id:BCDC	RF1 Tasic	cfde_id_namespace_id:BCDC	zeng_sc_SSv4_proj
cfde_id_namespace_id:BCDC	U19 Zeng	cfde_id_namespace_id:BCDC	zeng_sc_SSv4_proj
cfde_id_namespace_id:BCDC	U19 Zeng	cfde_id_namespace_id:BCDC	zeng_sn_10x_proj
cfde_id_namespace_id:BCDC	U19 Zeng	cfde_id_namespace_id:BCDC	zeng_sn_SSv4_proj
cfde_id_namespace_id:BCDC	U19 Zeng	cfde_id_namespace_id:BCDC	zeng_tolias_pseq_proj
cfde_id_namespace_id:BCDC	U19 Zeng	cfde_id_namespace_id:BCDC	zhuang_merfish_proj
cfde_id_namespace_id:BCDC	U01 ZhangKun	cfde_id_namespace_id:BCDC	zhangK_snareseq
cfde_id_namespace_id:BCDC	U01 ZhangLi	cfde_id_namespace_id:BCDC	zhangl_seqfish_proj
cfde_id_namespace_id:BCDC	U01 Ecker	cfde_id_namespace_id:BCDC	ecker_hu_DNAseq_proj
cfde_id_namespace_id:BCDC	U01 Ecker	cfde_id_namespace_id:BCDC	ecker_hu_sn_mCseq_proj
cfde_id_namespace_id:BCDC	U01 Ecker	cfde_id_namespace_id:BCDC	ecker_hu_sn_ATACseq_proj
cfde_id_namespace_id:BCDC	U01 Fischl	cfde_id_namespace_id:BCDC	fischl_mri_proj
cfde_id_namespace_id:BCDC	U01 Fischl	cfde_id_namespace_id:BCDC	fischl_oct_proj
cfde_id_namespace_id:BCDC	RF1 Tasic	cfde_id_namespace_id:BCDC	tasic_ATACseq_proj
cfde_id_namespace_id:BCDC	RF1 Tasic	cfde_id_namespace_id:BCDC	tasic_stpt_proj
